"Source Country","Destination Country","Visa Status","Visa Type",Duration
Afghanistan,Nicaragua,"Visa Required","visa required",
Afghanistan,Niger,"Visa Required","visa required",
Afghanistan,Nigeria,eVisa,eVisa,90
Afghanistan,"North Korea","Visa Required","visa required",
Afghanistan,"North Macedonia","Visa Required","visa required",
Afghanistan,Norway,"Visa Required","visa required",
Afghanistan,Oman,eVisa,eVisa,
Afghanistan,Pakistan,eVisa,eVisa,
Afghanistan,Palau,"Visa on Arrival","visa on arrival",30
Afghanistan,"Palestinian Territories","Visa Required","visa required",
Afghanistan,Panama,"Visa Required","visa required",
Afghanistan,"Papua New Guinea",eVisa,eVisa,
Afghanistan,Paraguay,"Visa Required","visa required",
Afghanistan,Peru,"Visa Required","visa required",
Afghanistan,Philippines,"Visa Required","visa required",
Afghanistan,Poland,"Visa Required","visa required",
Afghanistan,Portugal,"Visa Required","visa required",
Afghanistan,Qatar,eVisa,eVisa,
Afghanistan,Romania,"Visa Required","visa required",
Afghanistan,"Russian Federation","Visa Required","visa required",
Afghanistan,Rwanda,"Visa on Arrival","eVisa / visa on arrival",30
Afghanistan,"Saint Kitts and Nevis",eVisa,eVisa,
Afghanistan,"Saint Lucia","Visa Required","visa required",
Afghanistan,Samoa,"Visa on Arrival","visa on arrival",90
Afghanistan,"San Marino","Visa Required","visa required",
Afghanistan,"Sao Tome and Principe",eVisa,eVisa,
Afghanistan,"Saudi Arabia","Visa Required","visa required",
Afghanistan,Senegal,"Visa Required","visa required",
Afghanistan,Serbia,"Visa Required","visa required",
Afghanistan,Seychelles,Unknown,"tourist registration",90
Afghanistan,"Sierra Leone",eVisa,eVisa,
Afghanistan,Singapore,eVisa,eVisa,
Afghanistan,Slovakia,"Visa Required","visa required",
Afghanistan,Slovenia,"Visa Required","visa required",
Afghanistan,"Solomon Islands","Visa Required","visa required",
Afghanistan,Somalia,eVisa,eVisa,
Afghanistan,"South Africa","Visa Required","visa required",
Afghanistan,"South Korea",eVisa,eVisa,
Afghanistan,"South Sudan",eVisa,eVisa,90
Afghanistan,Spain,"Visa Required","visa required",
Afghanistan,"Sri Lanka","Visa on Arrival","eVisa / visa on arrival",30
Afghanistan,"St. Vincent and the Grenadines","Visa Required","visa required",
Afghanistan,Sudan,"Visa Required","visa required",
Afghanistan,Suriname,eVisa,eVisa,90
Afghanistan,Sweden,"Visa Required","visa required",
Afghanistan,Switzerland,"Visa Required","visa required",
Afghanistan,Syria,"Visa Required","visa required",
Afghanistan,Taiwan,"Visa Required","visa required",
Afghanistan,Tajikistan,"Visa Required","visa required",
Afghanistan,Tanzania,eVisa,eVisa,
Afghanistan,Thailand,eVisa,eVisa,
Afghanistan,Timor-Leste,"Visa on Arrival","visa on arrival",30
Afghanistan,Togo,eVisa,eVisa,15
Afghanistan,Tonga,"Visa Required","visa required",
Afghanistan,"Trinidad and Tobago","Visa Required","visa required",
Afghanistan,Tunisia,"Visa Required","visa required",
Afghanistan,Turkmenistan,"Visa Required","visa required",
Afghanistan,Tuvalu,"Visa on Arrival","visa on arrival",30
Afghanistan,Türkiye,"Visa Required","visa required",
Afghanistan,Uganda,eVisa,eVisa,
Afghanistan,Ukraine,"Visa Required","visa required",
